,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
562,2018-04-09 12:58:01+00:00,-0.8834,0.43,0.57,Washington Post,0.0,"Analysis: McCain takes his Trump criticism to a whole new level, suggesting blame for chemical weapons attack in Sy… https://t.co/uWuqOofovE",63
563,2018-04-09 12:53:48+00:00,0.0,0.0,1.0,Washington Post,0.0,"Betsy DeVos to Oklahoma teachers: ""Serve the students"" https://t.co/Sm1RYnoZIi",64
564,2018-04-09 12:44:17+00:00,-0.6597,0.206,0.794,Washington Post,0.0,"A city searched for an autistic boy for days. Then, police say, his dad confessed to killing him. https://t.co/ZuskT8ceAq",65
565,2018-04-09 12:39:03+00:00,-0.1027,0.142,0.735,Washington Post,0.123,"Analysis: Like Obama, Macron said chemical weapons were his ""red line"" in Syria. So now what? https://t.co/XvQSUqbyqd",66
566,2018-04-09 12:32:43+00:00,-0.4019,0.197,0.803,Washington Post,0.0,Tensions rise over Taiwan Strait as U.S. and China harden positions https://t.co/nTbH4o8PEh,67
567,2018-04-09 12:21:22+00:00,-0.765,0.375,0.625,Washington Post,0.0,How the Haitian refugee crisis led to the indefinite detention of immigrants https://t.co/0B2g6tZcTk,68
568,2018-04-09 12:15:53+00:00,-0.4767,0.171,0.829,Washington Post,0.0,Opinion: The latest chemical attack in Syria reveals the bankruptcy of Trump’s policies toward Assad https://t.co/2ia8pSB5jS,69
569,2018-04-09 12:10:26+00:00,0.0,0.0,1.0,Washington Post,0.0,"She's 16, a U.S. citizen and living with her deported parents in Mexico. Does she stay with them, or return to her… https://t.co/VAss7MHs2c",70
570,2018-04-09 12:04:45+00:00,0.0,0.0,1.0,Washington Post,0.0,SNL pokes at Mark Zuckerberg and the sheer creepiness of the Cambridge Analytica breach https://t.co/y1UItPJmsq,71
571,2018-04-09 11:58:48+00:00,0.0,0.0,1.0,Washington Post,0.0,"""I know I don’t need it."" An AR-15 owner explains the allure https://t.co/bbtj75yyTE",72
572,2018-04-09 11:53:02+00:00,-0.0772,0.115,0.885,Washington Post,0.0,"Tony Robbins suggested #MeToo was about ""victimhood."" Now he’s apologizing. https://t.co/AStrhpLSpu",73
573,2018-04-09 11:48:09+00:00,-0.5423,0.257,0.743,Washington Post,0.0,"In the editorial pages of the Denver Post, a rebellion against its ""vulture capitalist"" owners https://t.co/JCz6ULKD8q",74
574,2018-04-09 11:40:13+00:00,-0.3612,0.217,0.783,Washington Post,0.0,"Fact Checker: Two Trump speeches, two dozen dubious claims https://t.co/eroldyOJvQ",75
575,2018-04-09 11:31:05+00:00,-0.34,0.124,0.876,Washington Post,0.0,"Under fire from Trump, Sessions taps U.S. attorney in Chicago to oversee production of documents for Congress https://t.co/mlpuuLKAuw",76
576,2018-04-09 11:24:33+00:00,0.0,0.0,1.0,Washington Post,0.0,Cardi B is the latest star to try to reveal her pregnancy on her own terms https://t.co/MF342xBzt9,77
577,2018-04-09 11:14:17+00:00,0.0,0.0,1.0,Washington Post,0.0,Analysis: Trump’s real Syria policy is hypocrisy https://t.co/7fbamxdlyF,78
578,2018-04-09 11:08:06+00:00,-0.6249,0.338,0.662,Washington Post,0.0,"GOP increasingly fears loss of House, focuses on saving Senate majority https://t.co/wXScHfODPw",79
579,2018-04-09 11:03:17+00:00,-0.7351,0.341,0.659,Washington Post,0.0,Men account for nearly 1 in 5 complaints of workplace sexual harassment with the EEOC https://t.co/0kd6OG8TIz,80
580,2018-04-09 10:57:45+00:00,-0.5574,0.315,0.685,Washington Post,0.0,Police arrest 6 accused of planning stabbing rampage during Berlin Half Marathon https://t.co/BsI95A03sp,81
581,2018-04-09 10:52:39+00:00,-0.34,0.138,0.862,Washington Post,0.0,"Donald Trump once lobbied against fire sprinklers in existing New York high-rises, including Trump Tower https://t.co/sud1TieBgG",82
582,2018-04-09 10:45:11+00:00,-0.6908,0.289,0.711,Washington Post,0.0,"""We’re in a battle to defend democracy — and Trump is on the wrong side""  https://t.co/x7gnK83qCr via @PostOpinions",83
583,2018-04-09 10:37:49+00:00,-0.5859,0.255,0.745,Washington Post,0.0,"Dozens injured on Long Island as busload of students plows into low overpass, mangling roof https://t.co/TAHuU3FrkB",84
584,2018-04-09 10:28:33+00:00,0.0,0.0,1.0,Washington Post,0.0,"Perspective: Our foster daughters went back home, but we still see them. Is part-time parenting enough? https://t.co/63c2SDzduD",85
585,2018-04-09 10:21:42+00:00,0.0,0.0,1.0,Washington Post,0.0,"Cuernavaca: A side trip into opulence, only an hour away from Mexico’s capital https://t.co/wh7quBppa9",86
586,2018-04-09 10:14:42+00:00,0.0,0.0,1.0,Washington Post,0.0,Tourists find a body in the ocean near where Hart family’s SUV plunged off a cliff https://t.co/9L64s6PgkX,87
587,2018-04-09 09:53:16+00:00,-0.765,0.28,0.72,Washington Post,0.0,Trump bragged that his tower withstood a fire — but has been silent about the man who died in it https://t.co/INkpNjey9a,88
588,2018-04-09 09:24:48+00:00,-0.128,0.12,0.88,Washington Post,0.0,Syria says strike on military base carried out by Israeli warplanes https://t.co/DBterMr0ii,89
589,2018-04-09 09:22:56+00:00,0.0,0.0,1.0,Washington Post,0.0,Analysis: How 12 experts would end inequality if they ran America https://t.co/q5nAzsTeuC,90
